round_idx,task,phase,round,train_loss,test_loss,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,fpr
1,1,1,1,0.3134,0.3691,96.6594,96.6594,63.3238,95.7276,96.6594,50.1021,96.6594,96.6594,48.9592,95.1506,1.0213
2,1,1,2,0.4397,0.143,96.6547,96.6547,55.7803,94.7419,96.6547,49.9291,96.6547,96.6547,48.6306,95.1107,1.0303
3,1,1,3,0.6425,0.1298,96.655,96.655,47.4484,93.6662,96.655,49.9242,96.655,96.655,48.6235,95.1101,1.0306
4,1,1,4,0.7991,0.1547,96.7464,96.7464,47.4733,93.7509,96.7464,49.9723,96.7464,96.7464,48.6603,95.1998,0.9969
5,1,1,5,0.902,0.1722,96.7492,96.7492,64.1662,94.7604,96.7492,50.2714,96.7492,96.7492,49.2741,95.229,0.9995
6,1,1,6,0.9192,0.1589,96.7916,96.7916,64.1998,94.7974,96.7916,50.5752,96.7916,96.7916,49.8508,95.2946,0.987
7,1,1,7,0.9198,0.1654,96.8957,96.8957,64.3881,94.8787,96.8957,52.5425,96.8957,96.8957,53.2568,95.5329,0.9711
8,1,1,8,0.9251,0.1626,96.7896,96.7896,64.196,94.7959,96.7896,50.5438,96.7896,96.7896,49.7897,95.2901,0.9872
9,1,1,9,0.9204,0.1647,96.7584,96.7584,47.4743,93.7619,96.7584,49.9793,96.7584,96.7584,48.6642,95.2116,0.9919
10,1,1,10,0.9282,0.2245,96.7554,96.7554,62.2887,94.6568,96.7554,49.9844,96.7554,96.7554,48.6765,95.2093,0.9932
11,1,1,11,0.898,0.1904,96.7575,96.7575,64.1416,94.7707,96.7575,49.9794,96.7575,96.7575,48.6652,95.2107,0.9924
12,1,1,12,0.8658,0.1723,96.7669,96.7669,80.7197,96.9233,96.7669,50.1238,96.7669,96.7669,48.9579,95.2334,0.9901
13,1,1,13,0.8432,0.2008,96.7611,96.7611,80.4008,96.8995,96.7611,50.0789,96.7611,96.7611,48.8682,95.2235,0.9918
14,1,1,14,0.842,0.2299,96.7547,96.7547,65.4231,95.9882,96.7547,49.9833,96.7547,96.7547,48.6755,95.2095,0.9933
15,1,1,15,0.8153,0.215,96.761,96.761,65.0183,95.9684,96.761,49.9994,96.761,96.761,48.704,95.218,0.9903
